CodeinIfs,Series
SP.POP.DPND,PopAgeDependRatio
AG.LND.IRIG.AG.ZS,LandIr%
AG.LND.TRAC.ZS,AgMachTracper100H
TX.VAL.AGRI.ZS.UN,AgRawEx%MerchEx
TM.VAL.AGRI.ZS.UN,AgRawIm%MerchIm
NV.AGR.TOTL.ZS,VaddAg%
IS.AIR.GOOD.MT.K1,TransAirFreight
IS.AIR.PSGR,TransAirPassengers
IS.AIR.DPRT,TransAircraftDeparts
ER.H2O.FWAG.ZS,WaterWithAgr%Fresh
ER.H2O.FWDM.ZS,WaterWithDom%Fresh
ER.H2O.FWIN.ZS,WaterWithInd%Fresh
ER.H2O.FWTL.K3,WaterAnWithdrawalsNew
AG.LND.ARBL.ZS,LandArable%Total
AG.LND.ARBL.HA,LandArable
SH.STA.ARIC.ZS,HealthARITreatmentChil
MS.MIL.TOTL.TF.ZS,GovMilPers%Labor
MS.MIL.XPRT.KD,ArmsExp%TotExp
MS.MIL.MPRT.KD,ArmsImp%TotImp
IC.CUS.DURS.EX,GovWBDoingBusinessCustomsDays
SP.DYN.CBRT.IN,CBR
SH.STA.BRTC.ZS,HealthBrthsAttnSkilledPersWDI
GC.DOD.TOTL.GD.ZS,GovtDebt%GDP
BM.GSR.ROYL.CD,XRoyalLicPayments
BX.GSR.ROYL.CD,XRoyalLicReceipts
SL.TLF.0714.WK.ZS,LaborEconActiveChildren%
EN.ATM.CO2E.PP.GD.KD,EmissionsCO2per2000$PPP
EN.ATM.CO2E.KT,EmissionsCO2WDI
EN.ATM.CO2E.PC,EmissionsCO2perCap
EG.USE.CRNW.ZS,EnConComRenewWaste
GC.XPN.COMP.ZS,GovEmplComp%Exp
TX.VAL.OTHR.ZS.WT,ICTCommCompEx%Ser
TM.VAL.OTHR.ZS.WT,ICTCommCompIm%Ser
FP.CPI.TOTL,ConsumerPriceIndex
IS.SHP.GOOD.TU,TransContainerTraf
SP.DYN.CONU.ZS,PopContrUse%WDI
IC.REG.COST.PC.ZS,GovWBDoingBusinessCostofStarting
BN.CAB.XOKA.GD.ZS,XCurActBal%GDP
BN.CAB.XOKA.CD,XCurActBal
GC.TAX.IMPT.ZS,TaxImportDuties%Imp
SP.DYN.CDRT.IN,CDR
DT.TDS.DPPG.CD,XDebtServPPG%Exports
DT.TDS.DECT.CD,XDebtServiceTot
PA.NUS.ATLS,GDPAltCovFactDEC
SH.STA.ORCF.ZS,HealthDiarrhORTChil%
NY.GDP.DISC.CN,GDPCurLCU
EG.USE.ELEC.KH.PC,EnConElecPerCap
EG.ELC.LOSS.ZS,EnElecTransLoss%
EG.ELC.COAL.ZS,EnProdElec%Coal
EG.ELC.HYRO.ZS,EnProdElec%Hydro
EG.ELC.NGAS.ZS,EnProdElec%Gas
EG.ELC.NUCL.ZS,EnProdElec%Nuc
EG.ELC.PETR.ZS,EnProdElec%Oil
SL.AGR.EMPL.ZS,LaborAgriSector
SL.AGR.EMPL.FE.ZS,LaborAgr%TotFemale
SL.AGR.EMPL.MA.ZS,LaborAgr%TotMale
SL.IND.EMPL.ZS,LaborInduSector
SL.IND.EMPL.FE.ZS,LaborInd%TotFemale
SL.IND.EMPL.MA.ZS,LaborInd%TotMale
SL.SRV.EMPL.ZS,LaborSecSer%Tot
SL.SRV.EMPL.FE.ZS,LaborSer%TotFemale
SL.SRV.EMPL.MA.ZS,LaborSer%TotMale
EG.IMP.CONS.ZS,EnImportsNet%EnUse
GC.XPN.TOTL.GD.ZS,GovExpense%GDP
TX.VAL.MRCH.XD.WD,ExportValueIndex
TX.QTY.MRCH.XD.WD,ExportQuantityIndex
NE.EXP.GNFS.ZS,ExportGoodSer%
NE.EXP.GNFS.CD,ExportsGoodsServices
BX.GSR.TOTL.CD,ExportsGoodsServicesIncome
NE.RSB.GNFS.ZS,XExtBalGoodsServ%GDP
NE.RSB.GNFS.CD,XExtBalGoodsServ
DT.DOD.DECT.GN.ZS,XDebt%GNI
DT.DOD.DLXF.CD,Xdebt
DT.DOD.DPNG.CD,XDebtPNG
DT.DOD.DPPG.CD,XDebtPPG
DT.DOD.DECT.CD,XDebt%GDP
SH.XPD.EXTR.ZS,HealthExtRes%Total
SP.DYN.TFRT.IN,TFR
AG.CON.FERT.ZS,AgFertUse
NE.CON.TETC.ZS,ConsumFinal%GDP
IT.NET.BBND,ICTBroadbandSubscribers
IT.NET.BBND.P2,ICTBroadbandSubsper100
TX.VAL.FOOD.ZS.UN,AgFoodEx%MerchEx
TM.VAL.FOOD.ZS.UN,AgFoodIm%MerchIm
AG.PRD.FOOD.XD,AgCropProdIndex
NV.MNF.FBTO.ZS.UN,VaddFoodBevTob%Man
BX.KLT.DINV.WD.GD.ZS,XFDIInflows%GDP
BX.KLT.DINV.CD.WD,XFDINetFlows
BM.KLT.DINV.WD.GD.ZS,XFDIOutflows%GDP
TX.VAL.FUEL.ZS.UN,EnFuelEx%MerchEx
TM.VAL.FUEL.ZS.UN,EnFuelIm%MerchIm
NY.GDP.MKTP.KD,GDP
NY.GDP.MKTP.CD,GDPCurDol
NY.GDP.DEFL.ZS,GDPDeflator
NY.GDP.PCAP.CD,GDPPCCurDol
NY.GDP.PCAP.PP.KD,GDP2003PCPPPWDI
NY.GDP.PCAP.PP.CD,GDP2008PCPPPWDI
NE.CON.GOVT.ZS,GovCon%GDP
NE.CON.GOVT.CD,GovExpend
SI.POV.GINI,Gini
BX.GSR.MRCH.CD,ExportGoods
BM.GSR.MRCH.CD,ImportGoods
SE.XPD.TOTL.GD.ZS,GovtEdPub%GDP
GC.REV.GOTR.ZS,GovGrantsRev%Rev
GC.REV.GOTR.CN,AidRecGrant%Total
NE.GDI.TOTL.ZS,InvestGrCapForm%GDP
NE.GDI.TOTL.CD,InvestGrCapForm
NY.GDS.TOTL.ZS,SavingsDomestic%GDP
NE.GDI.FTOT.ZS,InvestGrFixedCapForm%GDP
NE.DAB.TOTL.ZS,NationalExpendGross%GDP
NY.GNS.ICTR.ZS,Savings%GDP
NY.GNS.ICTR.GN.ZS,SavingsGross%GNI
NY.GDP.FCST.CD,VAddTot95
SH.XPD.PCAP,HealthExpperCap
SH.XPD.PRIV.ZS,HlPriv%GDP
SH.XPD.PUBL.ZS,GovtHl%GDP
SH.XPD.TOTL.ZS,HealthExpTotal%GDP
TX.VAL.TECH.MF.ZS,ExportHighTech%Man
SH.MED.BEDS.ZS,HealthHospBedsper1000
NE.CON.PRVT.CD,HouseCon
NE.CON.PETC.ZS,HouseCon%GDP
DT.DOD.MWBG.CD,XFlowsIBRDIDA
SH.IMM.IDPT,HealthDPTImmunRate
SH.IMM.MEAS,HealthMeaslesImmunRate
TM.VAL.MRCH.XD.WD,ImportValueIndex
TM.QTY.MRCH.XD.WD,ImportQuantityIndex
NE.IMP.GNFS.ZS,ImportGoodSer%
BM.GSR.GNFS.CD,ImportsGoodsServices
NE.IMP.GNFS.CD,Imports
BM.GSR.TOTL.CD,ImportsGoodsServicesIncome
SH.STA.ACSN,SanitationAccess%
SH.STA.ACSN.RU,SanitationAccessRural%
SH.STA.ACSN.UR,SanitationAccessUrban%
SH.H2O.SAFE.ZS,SafWaterWDI%
SH.H2O.SAFE.RU.ZS,SafWaterRural%
SH.H2O.SAFE.UR.ZS,SafWaterUrban%
SH.TBS.INCD,HealthTBIncper100000
SI.DST.04TH.20,IncShareSecL20%
SI.DST.10TH.10,IncShareH10%
SI.DST.05TH.20,IncShareH20%
SI.DST.FRST.10,IncShareL10%
SI.DST.FRST.20,IncShareL20%
SI.DST.02ND.20,IncShareSecH20%
SI.DST.03RD.20,IncShareM20%
NV.IND.TOTL.ZS,VaddInd%
FP.CPI.TOTL.ZG,Inflation
NY.GDP.DEFL.KD.ZG,InflationGDPDeflator
SL.ISV.IFRM.FE.ZS,LaborInformal%TotalFemaleWB
SL.ISV.IFRM.MA.ZS,LaborInformal%TotalMaleWB
TX.VAL.INSF.ZS.WT,InscFinEx%Ser
TM.VAL.INSF.ZS.WT,InscFinIm%Ser
GC.XPN.INTP.ZS,GovInt%Exp
GC.XPN.INTP.RV.ZS,GovInt%Rev
SM.POP.TOTL.ZS,PopForeign%
SM.POP.TOTL,PopForeignInflows
ST.INT.XPND.MP.ZS,TourismExpend%Imp
ST.INT.ARVL,TourismArrivals
ST.INT.DPRT,TourismDepartures
ST.INT.RCPT.XP.ZS,TourReceipt%Exp
IE.PPI.TELE.CD,ICTTelecomRev%GDP
SL.TLF.CACT.FE.ZS,LaborParRate15PlusFemale
SL.TLF.CACT.MA.ZS,LaborParRate15PlusMale
SL.TLF.CACT.NE.ZS,LaborParRate15PlusTotal
SL.TLF.TOTL.FE.ZS,LaborFemale%
SL.TLF.TOTL.IN,Labor
AG.LND.TOTL.K2,LandArea
SP.DYN.LE00.FE.IN,LifExpectFemaleWDI
SP.DYN.LE00.MA.IN,LifExpectMaleWDI
SP.DYN.LE00.IN,LifExpect
SE.ADT.LITR.FE.ZS,LiteracyAdultFemale%
SE.ADT.LITR.MA.ZS,LiteracyAdultMale%
SE.ADT.LITR.ZS,LiteracyAdultTotal%
SE.ADT.1524.LT.FE.ZS,LiteracyYouthFemale%
SE.ADT.1524.LT.MA.ZS,LiteracyYouthMale%
SE.ADT.1524.LT.ZS,LiteracyYouthTotal%
AG.PRD.LVSK.XD,AgLifestockProdIndex
TX.VAL.MANF.ZS.UN,ManEx%MerchEx
TM.VAL.MANF.ZS.UN,ManIm%MerchIm
NV.IND.MANF.ZS,VaddMan%
CM.MKT.LCAP.GD.ZS,CompanyValue%GDP
SH.STA.MMRT,MaternalMortalityRatio
TX.VAL.MRCH.CD.WT,ExportsMerchandise
TM.VAL.MRCH.CD.WT,ImportsMerchandise
MS.MIL.XPND.ZS,GovMil%GovExp
MS.MIL.XPND.GD.ZS,GovtMil%GDPWDI
IT.CEL.SETS.P2,ICTTelephoneMobileper1000
SP.DYN.IMRT.IN,InfMort
SH.DYN.MORT,MortChildUnder5
DT.TDS.MLAT.PG.ZS,XDebtServMulti%PPGServ
TT.PRI.MRCH.XD.WD,TermTrNetBarter
BN.TRF.KOGT.CD,XNetCapitalAccount
DT.NFL.MIBR.CD,XFlowsIBRD
DT.NFL.MIDA.CD,XFlowsIDA
DT.NFL.IMFC.CD,XFlowsIMFCon
DT.NFL.IMFN.CD,XFlowsIMFNonCon
DT.NFL.MOTH.CD,XFlowsOthers
DT.NFL.RDBC.CD,XFlowsRDBCon
DT.NFL.RDBN.CD,XFlowsRDBNonCon
NY.GSR.NFCY.CD,XNetIncFrmAbr
SE.PRM.NINT.ZS,EdPriNIRTotal%
SE.PRM.NINT.FE.ZS,EdPriNIRFemale%
SE.PRM.NINT.MA.ZS,EdPriNIRMale%
SM.POP.NETM,PopMigNetTest4BBH
DT.ODA.ODAT.GN.ZS,AidRec%GNI
DT.ODA.ODAT.PC.ZS,AidRecPerCap
DT.ODA.ALLD.CD,AidRec
BN.TRF.CURR.CD,XNetCurTransfers
NY.TAX.NIND.CD,TaxProducts
BN.GSR.MRCH.CD,XNetTradeinGoods
BN.GSR.GNFS.CD,XNetTradeinGoodsServices
PA.NUS.FCRF,XExchRateLCUtoDollar
TX.VAL.MMTL.ZS.UN,OresMetsEx%MerchEx
TM.VAL.MMTL.ZS.UN,OresMetsIm%MerchIm
GC.TAX.OTHR.RV.ZS,TaxOther%CurRev
SH.XPD.OOPC.ZS,HealthExpOutofPocket%
IP.PAT.NRES,PatentApplicationsNonRes
IP.PAT.RESD,PatentApplicationsRes
AG.LND.CROP.ZS,LandCrop%
BM.TRF.PWKR.CD.DT,XWorkerRemitPaid
BX.TRF.PWKR.DT.GD.ZS,XWorkerRemit%GDP
BX.TRF.PWKR.CD.DT,XWorkerRemitReceived
SH.MED.PHYS.ZS,HealthPhysiciansper1000
SP.POP.0014.TO.ZS,PopulationYouthDep%
EN.POP.DNST,PopulationDensity
SP.POP.GROW,PopulationGrowthRate
EN.URB.LCTY.UR.ZS,PopulationLargestCity%Urb
SP.POP.TOTL,PopulationOld
BX.PEF.TOTL.CD.WD,XPortEquity%GDP
DT.NFL.BOND.CD,XPortBonds
BN.KLT.PTXL.CD,XPortInvExclLCFAR
SI.POV.GAPS,PovertyGap$1c25perDay
SI.POV.DDAY,IncBelow1D25c%WDI2009
SI.POV.NAHC,PovertyNatPovLineHC%
DT.DOD.PVLX.EX.ZS,XDebt%Exports
SH.DYN.AIDS.ZS,HealthHIVRateFemAdults
SH.STA.STNT.ZS,MalnChil%HeightBased
SN.ITK.DEFC.ZS,MalnPop%WB
SH.STA.MALN.ZS,MalnChil%
PA.NUS.PPPC.RF,PPPConvtoMER
BM.GSR.FCTY.CD,XIncPayments
BX.GSR.FCTY.CD,XIncReceipts
SG.GEN.PARL.ZS,SOFIWomParlWDI%
DT.TDS.DPPG.GN.ZS,GovPPGDebtService%Rev
EP.PMP.DESL.CD,EnPricePumpDiesel
EP.PMP.SGAS.CD,EnPricePumpSuper
SE.PRM.ENRL.TC.ZS,EDPriPTR
IS.RRS.TOTL.KM,RailKM
IS.RRS.GOOD.MT.K6,RailGoods
IS.RRS.PASG.KM,RailPassengerKM
PX.REX.REER,XRealEffectExchRateInd
FR.INR.RINR,InterestRatesReal
SM.POP.REFG,PopAsylumSeekers
ER.H2O.INTR.K3,WaterAnRenResourcesNew
GB.XPD.RSDV.GD.ZS,R&D%GDPWDI
SP.POP.SCIE.RD.P6,R&DResearchersperMillion
BN.RES.INCL.CD,XChngNetReserves
GC.REV.XGRT.GD.ZS,GovtCurRev%GDP
FR.INR.RISK,RiskPremLend%
SP.RUR.TOTL,PopulationDensityRural
SP.RUR.TOTL.ZS,PopulationRural%
SI.POV.RUHC,IncPovertyRural%Pop
IP.JRN.ARTC.SC,SciTechJournArticles
BX.TRF.CURR.CD,XCurTransferRec
IT.NET.SECR.P6,ICTInternetSecServsperMil
BX.GSR.NFSV.CD,ExportServices
BM.GSR.NFSV.CD,ImportServices
NV.SRV.TETC.ZS,VaddSer%
DT.DOD.DSTC.ZS,XDebtShort%TotalXDebt
SH.PRV.SMOK.FE,HealthSmokingFemales%
SH.PRV.SMOK.MA,HealthSmokingMales%
GC.REV.SOCL.ZS,GovSocialContr%Rev
GC.XPN.TRFT.ZS,GovSubTrans%CurExp
GC.TAX.TOTL.GD.ZS,GovTaxRev%GDP
GC.TAX.EXPT.ZS,TaxExportDuties%Exp
GC.TAX.GSRV.RV.ZS,GovTaxGoodSer%Rev
GC.TAX.YPKG.RV.ZS,GovTaxIncProCG%Rev
GC.TAX.YPKG.ZS,TaxIncPrCG%Tax
GC.TAX.INTT.RV.ZS,GovTaxTrade%Rev
SP.POP.TECH.RD.P6,R&DTechniciansperMil
NV.MNF.TXTL.ZS.UN,VaddTexCloth%Man
DT.TDS.DECT.EX.ZS,XDebtServ%Exports
DT.TDS.DECT.GN.ZS,XDebtServ%GNI
FI.RES.TOTL.CD,XReserves%GDP
FI.RES.TOTL.MO,XReservesMthImports
FI.RES.XGLD.CD,XReserveswoGoldCurDols
NE.TRD.GNFS.ZS,ExportImport%GDP
IP.TMK.NRES,TrademarksNonresidents
IP.TMK.RESD,TrademarksResidents
TX.VAL.TRAN.ZS.WT,TransEx%Ser
TM.VAL.TRAN.ZS.WT,TransIm%Ser
TX.VAL.TRVL.ZS.WT,TravEx%Ser
TM.VAL.TRVL.ZS.WT,TravIm%Ser
SH.TBS.DTEC.ZS,HealthTBDOTSDetect%
SH.TBS.CURE.ZS,HealthTBTreatSuccess%
SL.UEM.TOTL.ZS,LaborUnemploy%
SL.UEM.1524.ZS,LaborUnempYouth%
SP.UWT.TFRT,PopContrUnmetNeed%
SP.URB.TOTL,PopulationUrban
SP.URB.TOTL.IN.ZS,PopulationUrban%
SI.POV.URHC,IncPovertyUrban%Pop
DT.DOD.DIMF.CD,XIMFCredit%GDP
FP.WPI.TOTL,InflationWholesaleBase2000
VC.IDP.TOCV,DisplacedPeoplebyconflictandviolence
SH.DYN.NMRT,Neonatal
SH.DYN.MORT.MA,Under 5 Male
SH.DYN.MORT.FE,Under 5 Female
SP.DYN.IMRT.MA.IN,Infant Mort Male
SP.DYN.IMRT.FE.IN,Infant Mort Female
