Country name in IHME,Country name in IFs,IHME Group
Global,World,World
Italy,Italy,WHO Euro A
Bulgaria,Bulgaria,WHO Euro B
Barbados,Barbados,WHO Amro B
East Asia,Not in Ifs,Not in Ifs
Guatemala,Guatemala,WHO Amro D
Central African Republic,Central African Republic,WHO Afro E
Marshall Islands,Not in Ifs,Not in Ifs
High-income Asia Pacific,Not in Ifs,Not in Ifs
Campeche,Not in Ifs,Not in Ifs
El Salvador,El Salvador,WHO Amro B
Oman,Oman,WHO Emro B
Brunei,Brunei,WHO Wpro A
Solomon Islands,Solomon Islands,WHO Wpro B
Morocco,Morocco,WHO Emro D
Zambia,Zambia,WHO Afro E
Mauritania,Mauritania,WHO Afro D
Singapore,Singapore,WHO Wpro A
Cuba,Cuba,WHO Amro A
Czech Republic,Czech Republic,WHO Euro A
Bosnia and Herzegovina,Bosnia and Herzegovina,WHO Euro B
Sinaloa,Not in Ifs,Not in Ifs
Aichi,Not in Ifs,Not in Ifs
San Luis Potosí,Not in Ifs,Not in Ifs
Papua New Guinea,Papua New Guinea,WHO Wpro B
Ôita,Not in Ifs,Not in Ifs
Spain,Spain,WHO Euro A
Sao Tome and Principe,Sao Tome and Principe,WHO Afro D
Venezuela,Venezuela,WHO Amro B
Southern Sub-Saharan Africa,Not in Ifs,Not in Ifs
North Korea,"Korea, Democratic People's Republic of",WHO Searo D
Aomori,Not in Ifs,Not in Ifs
Democratic Republic of the Congo,"Congo, Democratic Republic of",WHO Afro E
Dominica,Not in Ifs,Not in Ifs
Switzerland,Switzerland,WHO Euro A
Mali,Mali,WHO Afro D
Kumamoto,Not in Ifs,Not in Ifs
Malta,Malta,WHO Euro A
Shiga,Not in Ifs,Not in Ifs
Nigeria,Nigeria,WHO Afro D
Honduras,Honduras,WHO Amro B
Coahuila,Not in Ifs,Not in Ifs
Romania,Romania,WHO Euro B
Croatia,Croatia,WHO Euro A
"Central Europe, Eastern Europe, and Central Asia",Not in Ifs,Not in Ifs
Botswana,Botswana,WHO Afro E
Miyagi,Not in Ifs,Not in Ifs
Macedonia,"Macedonia, Former Yugoslav Republic of",WHO Euro B
Tabasco,Not in Ifs,Not in Ifs
The Bahamas,"Bahamas, The",WHO Amro B
Veracruz de Ignacio de la Llave,Not in Ifs,Not in Ifs
Mexico,Mexico,WHO Amro B
Indonesia,Indonesia,WHO Searo B
Kagoshima,Not in Ifs,Not in Ifs
Laos,"Laos, People's Democratic Republic",WHO Wpro B
Japan,Japan,WHO Wpro A
Australia,Australia,WHO Wpro A
Vanuatu,Vanuatu,WHO Wpro B
"Southeast Asia, East Asia, and Oceania",Not in Ifs,Not in Ifs
Slovakia,Slovak Republic,WHO Euro B
Western Europe,Not in Ifs,Not in Ifs
Brazil,Brazil,WHO Amro B
Norway,Norway,WHO Euro A
Grenada,Grenada,WHO Amro B
Kiribati,Not in Ifs,Not in Ifs
Haiti,Haiti,WHO Amro D
United Arab Emirates,United Arab Emirates,WHO Emro B
Saudi Arabia,Saudi Arabia,WHO Emro B
Niger,Niger,WHO Afro D
Sweden,Sweden,WHO Euro A
Sierra Leone,Sierra Leone,WHO Afro D
Zimbabwe,Zimbabwe,WHO Afro E
Burundi,Burundi,WHO Afro E
Comoros,Comoros,WHO Afro D
Gabon,Gabon,WHO Afro D
Samoa,Samoa,WHO Wpro B
Tropical Latin America,Not in Ifs,Not in Ifs
Colima,Not in Ifs,Not in Ifs
Guanajuato,Not in Ifs,Not in Ifs
Cambodia,Cambodia,WHO Wpro B
Eastern Sub-Saharan Africa,Not in Ifs,Not in Ifs
Ky?to,Not in Ifs,Not in Ifs
New Zealand,New Zealand,WHO Wpro A
Sonora,Not in Ifs,Not in Ifs
North East England,Not in Ifs,Not in Ifs
American Samoa,Not in Ifs,Not in Ifs
Hungary,Hungary,WHO Euro C
Zacatecas,Not in Ifs,Not in Ifs
Angola,Angola,WHO Afro D
Tochigi,Not in Ifs,Not in Ifs
Uganda,Uganda,WHO Afro E
Turkey,Turkey,WHO Euro B
Luxembourg,Luxembourg,WHO Euro A
Southeast Asia,Not in Ifs,Not in Ifs
Armenia,Armenia,WHO Euro B
Namibia,Namibia,WHO Afro E
Miyazaki,Not in Ifs,Not in Ifs
Suriname,Suriname,WHO Amro B
Ibaraki,Not in Ifs,Not in Ifs
Palestine,Palestine,WHO Emro B
Chiapas,Not in Ifs,Not in Ifs
Central Asia,Not in Ifs,Not in Ifs
High SDI,Not in Ifs,Not in Ifs
Dominican Republic,Dominican Republic,WHO Amro B
Malaysia,Malaysia,WHO Wpro B
Saint Lucia,St. Lucia,WHO Amro B
South Korea,"Korea, Republic of",WHO Wpro B
Yucatán,Not in Ifs,Not in Ifs
Wakayama,Not in Ifs,Not in Ifs
Tlaxcala,Not in Ifs,Not in Ifs
Togo,Togo,WHO Afro D
Tunisia,Tunisia,WHO Emro B
North West England,Not in Ifs,Not in Ifs
Yamagata,Not in Ifs,Not in Ifs
Yemen,"Yemen, Republic of",WHO Emro D
Lesotho,Lesotho,WHO Afro E
Western Sub-Saharan Africa,Not in Ifs,Not in Ifs
Benin,Benin,WHO Afro D
United Kingdom,United Kingdom,WHO Euro A
Nicaragua,Nicaragua,WHO Amro D
South Asia,Not in Ifs,Not in Ifs
Saint Vincent and the Grenadines,St. Vincent and the Grenadines,WHO Amro B
Gunma,Not in Ifs,Not in Ifs
Middle SDI,Not in Ifs,Not in Ifs
Paraguay,Paraguay,WHO Amro B
Tonga,Tonga,WHO Wpro B
?saka,Not in Ifs,Not in Ifs
Belgium,Belgium,WHO Euro A
Belize,Belize,WHO Amro B
Eastern Europe,Not in Ifs,Not in Ifs
Southern Latin America,Latin America,Not in Ifs
Maldives,Maldives,WHO Searo D
Panama,Panama,WHO Amro B
Montenegro,Montenegro,WHO Euro B
Tamaulipas,Not in Ifs,Not in Ifs
Eritrea,Eritrea,WHO Afro E
Austria,Austria,WHO Euro A
Andean Latin America,Not in Ifs,Not in Ifs
North Africa and Middle East,Not in Ifs,Not in Ifs
China,China,WHO Wpro B
Qatar,Qatar,WHO Emro B
Baja California Sur,Not in Ifs,Not in Ifs
Philippines,Philippines,WHO Wpro B
Jalisco,Not in Ifs,Not in Ifs
Congo,"Congo, Republic of",WHO Afro E
Yorkshire and the Humber,Not in Ifs,Not in Ifs
Greenland,Not in Ifs,Not in Ifs
Georgia,Georgia,WHO Euro B
Hidalgo,Not in Ifs,Not in Ifs
Serbia,Serbia,WHO Euro B
Andorra,Not in Ifs,Not in Ifs
Guyana,Guyana,WHO Amro B
France,France,WHO Euro A
Low-middle SDI,Not in Ifs,Not in Ifs
Thailand,Thailand,WHO Searo B
South East England,Not in Ifs,Not in Ifs
Denmark,Denmark,WHO Euro A
Iwate,Not in Ifs,Not in Ifs
Puerto Rico,Puerto Rico,WHO Amro A
Low SDI,Not in Ifs,Not in Ifs
East Midlands,Not in Ifs,Not in Ifs
Senegal,Senegal,WHO Afro D
Cameroon,Cameroon,WHO Afro D
Moldova,Moldova,WHO Euro C
Myanmar,Myanmar,WHO Searo D
Burkina Faso,Burkina Faso,WHO Afro D
Saitama,Not in Ifs,Not in Ifs
Bermuda,Not in Ifs,Not in Ifs
Cape Verde,Cape Verde,WHO Afro D
Okinawa,Not in Ifs,Not in Ifs
Federated States of Micronesia,"Micronesia, Fed. Sts.",WHO Wpro B
Chihuahua,Not in Ifs,Not in Ifs
Malawi,Malawi,WHO Afro E
Shizuoka,Not in Ifs,Not in Ifs
Sweden except Stockholm,Not in Ifs,Not in Ifs
Djibouti,Djibouti,WHO Emro D
Mongolia,Mongolia,WHO Wpro B
Hy?go,Not in Ifs,Not in Ifs
East of England,Not in Ifs,Not in Ifs
Distrito Federal,Not in Ifs,Not in Ifs
Estonia,Estonia,WHO Euro C
Poland,Poland,WHO Euro B
Bolivia,Bolivia,WHO Amro D
Argentina,Argentina,WHO Amro B
High-income North America,Not in Ifs,Not in Ifs
Azerbaijan,Azerbaijan,WHO Euro B
Timor-Leste,Timor-Leste,WHO Searo D
Ecuador,Ecuador,WHO Amro D
Tajikistan,Tajikistan,WHO Euro B
Sudan,Sudan,WHO Emro D
Stockholm,Not in Ifs,Not in Ifs
Trinidad and Tobago,Trinidad and Tobago,WHO Amro B
Greater London,Not in Ifs,Not in Ifs
Slovenia,Slovenia,WHO Euro A
Kyrgyzstan,Kyrgyz Republic,WHO Euro B
Shimane,Not in Ifs,Not in Ifs
Chile,Chile,WHO Amro B
México,Not in Ifs,Not in Ifs
Chiba,Not in Ifs,Not in Ifs
Kenya,Kenya,WHO Afro E
Jamaica,Jamaica,WHO Amro B
Michoacán de Ocampo,Not in Ifs,Not in Ifs
Afghanistan,Afghanistan,WHO Emro D
Netherlands,Netherlands,WHO Euro A
Algeria,Algeria,WHO Afro D
Latvia,Latvia,WHO Euro C
England,Not in Ifs,Not in Ifs
Chad,Chad,WHO Afro D
Ukraine,Ukraine,WHO Euro C
Northern Ireland,Not in Ifs,Not in Ifs
Equatorial Guinea,Equatorial Guinea,WHO Afro D
Bangladesh,Bangladesh,WHO Searo D
South Africa,South Africa,WHO Afro E
Kazakhstan,Kazakhstan,WHO Euro C
Australasia,Not in Ifs,Not in Ifs
Nara,Not in Ifs,Not in Ifs
Yamaguchi,Not in Ifs,Not in Ifs
Syria,Syrian Arab Republic,WHO Emro B
Mauritius,Mauritius,WHO Afro D
Greece,Greece,WHO Euro A
Belarus,Belarus,WHO Euro C
Rwanda,Rwanda,WHO Afro E
Vietnam,Vietnam,WHO Wpro B
Canada,Canada,WHO Amro A
Wales,Not in Ifs,Not in Ifs
T?ky?,Not in Ifs,Not in Ifs
Latin America and Caribbean,Not in Ifs,Not in Ifs
High-middle SDI,Not in Ifs,Not in Ifs
Hokkaid?,Not in Ifs,Not in Ifs
Baja California,Not in Ifs,Not in Ifs
Ireland,Ireland,WHO Euro A
Taiwan,"Taiwan, China",WHO Wpro B
Tokushima,Not in Ifs,Not in Ifs
Hiroshima,Not in Ifs,Not in Ifs
India,India,WHO Searo D
Uruguay,Uruguay,WHO Amro B
Nayarit,Not in Ifs,Not in Ifs
Turkmenistan,Turkmenistan,WHO Euro B
Akita,Not in Ifs,Not in Ifs
Ethiopia,Ethiopia,WHO Afro E
Uzbekistan,Uzbekistan,WHO Euro B
United States,United States,WHO Amro A
Cyprus,Cyprus,WHO Euro A
Swaziland,Swaziland,WHO Afro E
Bahrain,Bahrain,WHO Emro B
Israel,Israel,WHO Euro A
Cote d'Ivoire,Cote d'Ivoire,WHO Afro E
Morelos,Not in Ifs,Not in Ifs
Mie,Not in Ifs,Not in Ifs
Oaxaca,Not in Ifs,Not in Ifs
Kanagawa,Not in Ifs,Not in Ifs
Iran,"Iran, Islamic Republic of",WHO Emro B
Peru,Peru,WHO Amro D
Durango,Not in Ifs,Not in Ifs
Guam,Not in Ifs,Not in Ifs
Portugal,Portugal,WHO Euro A
South West England,Not in Ifs,Not in Ifs
South Sudan,Sudan South,WHO Emro D
Ghana,Ghana,WHO Afro D
Mozambique,Mozambique,WHO Afro E
Ehime,Not in Ifs,Not in Ifs
Oceania,Not in Ifs,Not in Ifs
Ishikawa,Not in Ifs,Not in Ifs
Querétaro,Not in Ifs,Not in Ifs
Colombia,Colombia,WHO Amro B
Niigata,Not in Ifs,Not in Ifs
Sub-Saharan Africa,Not in Ifs,Not in Ifs
Jordan,Jordan,WHO Emro B
Northern Mariana Islands,Not in Ifs,Not in Ifs
Guinea-Bissau,Guinea-Bissau,WHO Afro D
Caribbean,Not in Ifs,Not in Ifs
Somalia,Somalia,WHO Emro D
Bhutan,Bhutan,WHO Searo D
Fukui,Not in Ifs,Not in Ifs
Sri Lanka,Sri Lanka,WHO Searo B
Tottori,Not in Ifs,Not in Ifs
Fiji,Fiji,WHO Wpro B
The Gambia,"Gambia, The",WHO Afro D
Aguascalientes,Not in Ifs,Not in Ifs
West Midlands,Not in Ifs,Not in Ifs
Central Europe,Not in Ifs,Not in Ifs
Toyama,Not in Ifs,Not in Ifs
Pakistan,Pakistan,WHO Emro D
Fukuoka,Not in Ifs,Not in Ifs
Kagawa,Not in Ifs,Not in Ifs
Finland,Finland,WHO Euro A
Antigua and Barbuda,Not in Ifs,Not in Ifs
Seychelles,Seychelles,WHO Afro D
Fukushima,Not in Ifs,Not in Ifs
"Virgin Islands, U.S.",Not in Ifs,Not in Ifs
Central Latin America,Not in Ifs,Not in Ifs
Nuevo León,Not in Ifs,Not in Ifs
Lithuania,Lithuania,WHO Euro C
Yamanashi,Not in Ifs,Not in Ifs
Nepal,Nepal,WHO Searo D
Nagano,Not in Ifs,Not in Ifs
Okayama,Not in Ifs,Not in Ifs
Egypt,"Egypt, Arab Republic of",WHO Emro D
Madagascar,Madagascar,WHO Afro D
Guerrero,Not in Ifs,Not in Ifs
Scotland,Not in Ifs,Not in Ifs
Central Sub-Saharan Africa,Not in Ifs,Not in Ifs
Lebanon,Lebanon,WHO Emro B
Germany,Germany,WHO Euro A
K?chi,Not in Ifs,Not in Ifs
Gifu,Not in Ifs,Not in Ifs
Iraq,Iraq,WHO Emro D
Tanzania,Tanzania,WHO Afro E
Russian Federation,Russian Federation,WHO Euro C
Albania,Albania,WHO Euro B
Saga,Not in Ifs,Not in Ifs
Guinea,Guinea,WHO Afro D
Iceland,Iceland,WHO Euro A
Libya,Libya,WHO Emro B
High-income,Not in Ifs,Not in Ifs
Costa Rica,Costa Rica,WHO Amro B
Kuwait,Kuwait,WHO Emro B
Liberia,Liberia,WHO Afro D
Nagasaki,Not in Ifs,Not in Ifs
Puebla,Not in Ifs,Not in Ifs
Quintana Roo,Not in Ifs,Not in Ifs
